frame.time_relative,ip.src,cmutcp.source_port,ip.dst,cmutcp.destination_port,cmutcp.seq_num,cmutcp.ack_num,cmutcp.hlen,cmutcp.plen,cmutcp.flags,cmutcp.advertised_window,cmutcp.extension_length
2.090061000,10.0.1.2,49065,10.0.1.1,3120,554986246,860840243,33,1400,4,65535,0
2.090448000,10.0.1.1,3120,10.0.1.2,49065,860840243,554987613,33,33,4,21791,0
2.090828000,10.0.1.2,49065,10.0.1.1,3120,554987613,860840243,33,1400,4,65535,0
2.091342000,10.0.1.1,3120,10.0.1.2,49065,860840243,554988980,33,33,4,20424,0
2.091715000,10.0.1.2,49065,10.0.1.1,3120,554988980,860840243,33,1400,4,65535,0
2.092382000,10.0.1.1,3120,10.0.1.2,49065,860840243,554990347,33,33,4,19057,0
2.092989000,10.0.1.2,49065,10.0.1.1,3120,554990347,860840243,33,1400,4,65535,0
2.093509000,10.0.1.1,3120,10.0.1.2,49065,860840243,554991714,33,33,4,17690,0
2.094079000,10.0.1.2,49065,10.0.1.1,3120,554991714,860840243,33,1400,4,65535,0
2.094557000,10.0.1.1,3120,10.0.1.2,49065,860840243,554993081,33,33,4,16323,0
2.095002000,10.0.1.2,49065,10.0.1.1,3120,554993081,860840243,33,1400,4,65535,0
2.095538000,10.0.1.1,3120,10.0.1.2,49065,860840243,554994448,33,33,4,14956,0
2.096124000,10.0.1.2,49065,10.0.1.1,3120,554994448,860840243,33,1400,4,65535,0
2.097099000,10.0.1.1,3120,10.0.1.2,49065,860840243,554995815,33,33,4,13589,0
2.103494000,10.0.1.2,49065,10.0.1.1,3120,554995815,860840243,33,1400,4,65535,0
2.104189000,10.0.1.1,3120,10.0.1.2,49065,860840243,554997182,33,33,4,12222,0
2.104775000,10.0.1.2,49065,10.0.1.1,3120,554997182,860840243,33,1400,4,65535,0
2.105352000,10.0.1.1,3120,10.0.1.2,49065,860840243,554998549,33,33,4,10855,0
2.106184000,10.0.1.2,49065,10.0.1.1,3120,554998549,860840243,33,1400,4,65535,0
2.106899000,10.0.1.1,3120,10.0.1.2,49065,860840243,554999916,33,33,4,9488,0
2.107542000,10.0.1.2,49065,10.0.1.1,3120,554999916,860840243,33,1400,4,65535,0
2.108313000,10.0.1.1,3120,10.0.1.2,49065,860840243,555001283,33,33,4,8121,0
2.109011000,10.0.1.2,49065,10.0.1.1,3120,555001283,860840243,33,1400,4,65535,0
2.109465000,10.0.1.1,3120,10.0.1.2,49065,860840243,555002650,33,33,4,6754,0
2.110615000,10.0.1.2,49065,10.0.1.1,3120,555002650,860840243,33,1400,4,65535,0
2.111324000,10.0.1.1,3120,10.0.1.2,49065,860840243,555004017,33,33,4,5387,0
2.112044000,10.0.1.2,49065,10.0.1.1,3120,555004017,860840243,33,1400,4,65535,0
2.113244000,10.0.1.1,3120,10.0.1.2,49065,860840243,555005384,33,33,4,4020,0
2.114806000,10.0.1.2,49065,10.0.1.1,3120,555005384,860840243,33,1400,4,65535,0
2.116070000,10.0.1.1,3120,10.0.1.2,49065,860840243,555006751,33,33,4,2653,0
2.117283000,10.0.1.2,49065,10.0.1.1,3120,555006751,860840243,33,1400,4,65535,0
2.117894000,10.0.1.1,3120,10.0.1.2,49065,860840243,555008118,33,33,4,1367,0
2.118589000,10.0.1.2,49065,10.0.1.1,3120,555008118,860840243,33,1400,4,65535,0
2.119490000,10.0.1.1,3120,10.0.1.2,49065,860840243,555009485,33,33,4,65455,0
2.120215000,10.0.1.2,49065,10.0.1.1,3120,555009485,860840243,33,1400,4,65535,0
2.120863000,10.0.1.1,3120,10.0.1.2,49065,860840243,555010852,33,33,4,64088,0
2.121844000,10.0.1.2,49065,10.0.1.1,3120,555010852,860840243,33,1400,4,65535,0
2.122833000,10.0.1.1,3120,10.0.1.2,49065,860840243,555012219,33,33,4,62721,0
2.123705000,10.0.1.2,49065,10.0.1.1,3120,555012219,860840243,33,1400,4,65535,0
2.124403000,10.0.1.1,3120,10.0.1.2,49065,860840243,555013586,33,33,4,61354,0
2.125081000,10.0.1.2,49065,10.0.1.1,3120,555013586,860840243,33,1400,4,65535,0
2.126020000,10.0.1.1,3120,10.0.1.2,49065,860840243,555014953,33,33,4,59987,0
2.126781000,10.0.1.2,49065,10.0.1.1,3120,555014953,860840243,33,1400,4,65535,0
2.127841000,10.0.1.1,3120,10.0.1.2,49065,860840243,555016320,33,33,4,58620,0
2.128446000,10.0.1.2,49065,10.0.1.1,3120,555016320,860840243,33,1400,4,65535,0
2.128972000,10.0.1.1,3120,10.0.1.2,49065,860840243,555017687,33,33,4,57253,0
2.129352000,10.0.1.2,49065,10.0.1.1,3120,555017687,860840243,33,1400,4,65535,0
2.130127000,10.0.1.1,3120,10.0.1.2,49065,860840243,555019054,33,33,4,55886,0
2.131314000,10.0.1.2,49065,10.0.1.1,3120,555019054,860840243,33,1400,4,65535,0
2.132134000,10.0.1.1,3120,10.0.1.2,49065,860840243,555020421,33,33,4,54519,0
2.132936000,10.0.1.2,49065,10.0.1.1,3120,555020421,860840243,33,1400,4,65535,0
2.133753000,10.0.1.1,3120,10.0.1.2,49065,860840243,555021788,33,33,4,53152,0
2.134835000,10.0.1.2,49065,10.0.1.1,3120,555021788,860840243,33,1400,4,65535,0
2.135827000,10.0.1.1,3120,10.0.1.2,49065,860840243,555023155,33,33,4,51785,0
2.136471000,10.0.1.2,49065,10.0.1.1,3120,555023155,860840243,33,1400,4,65535,0
2.137170000,10.0.1.1,3120,10.0.1.2,49065,860840243,555024522,33,33,4,50418,0
2.137722000,10.0.1.2,49065,10.0.1.1,3120,555024522,860840243,33,1400,4,65535,0
2.138282000,10.0.1.1,3120,10.0.1.2,49065,860840243,555025889,33,33,4,49051,0
2.138892000,10.0.1.2,49065,10.0.1.1,3120,555025889,860840243,33,1400,4,65535,0
2.139859000,10.0.1.1,3120,10.0.1.2,49065,860840243,555027256,33,33,4,47684,0
2.140615000,10.0.1.2,49065,10.0.1.1,3120,555027256,860840243,33,1400,4,65535,0
2.141318000,10.0.1.1,3120,10.0.1.2,49065,860840243,555028623,33,33,4,46317,0
2.142329000,10.0.1.2,49065,10.0.1.1,3120,555028623,860840243,33,1400,4,65535,0
2.143310000,10.0.1.1,3120,10.0.1.2,49065,860840243,555029990,33,33,4,44950,0
2.144064000,10.0.1.2,49065,10.0.1.1,3120,555029990,860840243,33,1400,4,65535,0
2.144606000,10.0.1.1,3120,10.0.1.2,49065,860840243,555031357,33,33,4,43583,0
2.145240000,10.0.1.2,49065,10.0.1.1,3120,555031357,860840243,33,1400,4,65535,0
2.146161000,10.0.1.1,3120,10.0.1.2,49065,860840243,555032724,33,33,4,42216,0
2.148634000,10.0.1.2,49065,10.0.1.1,3120,555032724,860840243,33,1400,4,65535,0
2.149702000,10.0.1.1,3120,10.0.1.2,49065,860840243,555034091,33,33,4,40849,0
2.151541000,10.0.1.2,49065,10.0.1.1,3120,555034091,860840243,33,1400,4,65535,0
2.152572000,10.0.1.1,3120,10.0.1.2,49065,860840243,555035458,33,33,4,39482,0
2.153364000,10.0.1.2,49065,10.0.1.1,3120,555035458,860840243,33,1400,4,65535,0
2.154096000,10.0.1.1,3120,10.0.1.2,49065,860840243,555036825,33,33,4,38115,0
2.154710000,10.0.1.2,49065,10.0.1.1,3120,555036825,860840243,33,1400,4,65535,0
2.155323000,10.0.1.1,3120,10.0.1.2,49065,860840243,555038192,33,33,4,36748,0
2.155810000,10.0.1.2,49065,10.0.1.1,3120,555038192,860840243,33,1400,4,65535,0
2.156241000,10.0.1.1,3120,10.0.1.2,49065,860840243,555039559,33,33,4,35381,0
2.157871000,10.0.1.2,49065,10.0.1.1,3120,555039559,860840243,33,1400,4,65535,0
2.158631000,10.0.1.1,3120,10.0.1.2,49065,860840243,555040926,33,33,4,34014,0
2.160117000,10.0.1.2,49065,10.0.1.1,3120,555040926,860840243,33,1400,4,65535,0
2.161261000,10.0.1.1,3120,10.0.1.2,49065,860840243,555042293,33,33,4,32647,0
2.162189000,10.0.1.2,49065,10.0.1.1,3120,555042293,860840243,33,1400,4,65535,0
2.163085000,10.0.1.1,3120,10.0.1.2,49065,860840243,555043660,33,33,4,31280,0
2.164046000,10.0.1.2,49065,10.0.1.1,3120,555043660,860840243,33,1400,4,65535,0
